Surah,Ayah,Arabic,Urdu,English,Tags,Category,Emotion,Context
1,1,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ,شروع الله کا نام لے کر جو بڑا مہربان نہایت رحم والا ہے,"In the name of Allah, the Beneficent, the Merciful.","Tawheed, Mercy, Kindness, Power","Divine Attributes & Signs (Asma wa Sifat), Supplication & Spirituality (Dua, Dhikr, Tazkiyah)","Love of Allah, Awe, Hope","Spiritual reminder, Worship guidance"
1,2,الْحَمْدُ لِلَّهِ رَبِّ الْعَالَمِينَ,سب طرح کی تعریف خدا ہی کو (سزاوار) ہے جو تمام مخلوقات کا پروردگار ہے,"Praise be to Allah, Lord of the Worlds,","Tawheed, Gratitude","Faith (Aqeedah), Supplication & Spirituality (Dua, Dhikr, Tazkiyah)","Gratitude, Awe, Love of Allah",Spiritual reminder
1,3,الرَّحْمَٰنِ الرَّحِيمِ,بڑا مہربان نہایت رحم والا,"The Beneficent, the Merciful.","Mercy, Kindness, Tawheed, Divine Attributes & Signs",Divine Attributes & Signs (Asma wa Sifat),"Love of Allah, Awe, Hope, Comfort",Spiritual reminder
1,4,مَالِكِ يَوْمِ الدِّينِ,انصاف کے دن کا حاکم,"Owner of the Day of Judgment,","Tawheed, Accountability, Justice, Resurrection, Power","Faith (Aqeedah), Eschatology (Akhirah), Divine Attributes & Signs (Asma wa Sifat)","Awe, Fear, Hope","Eschatological context, Spiritual reminder"
1,5,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ,(اے پروردگار) ہم تیری ہی عبادت کرتے ہیں اور تجھ ہی سے مدد مانگتے ہیں,Thee (alone) we worship; Thee (alone) we ask for help,"Tawheed, Dua, Hope, Gratitude","Faith (Aqeedah), Supplication & Spirituality (Dua, Dhikr, Tazkiyah)","Hope, Gratitude, Love of Allah","Worship guidance, Spiritual reminder"
1,6,اهْدِنَا الصِّرَاطَ الْمُسْتَقِيمَ,ہم کو سیدھے رستے چلا,"Show us the straight path,","Tawheed, Dua, Hope, Humility","Faith (Aqeedah), Supplication & Spirituality (Dua, Dhikr, Tazkiyah)","Hope, Humility, Love of Allah","Worship guidance, Spiritual reminder"
1,7,صِرَاطَ الَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ الْمَغْضُوبِ عَلَيْهِمْ وَلَا الضَّالِّينَ,ان لوگوں کے رستے جن پر تو اپنا فضل وکرم کرتا رہا نہ ان کے جن پر غصے ہوتا رہا اور نہ گمراہوں کے,The path of those whom Thou hast favoured; Not the (path) of those who earn Thine anger nor of those who go astray.,"Guidance, Misguidance, Reward, Punishment, Mercy, Heaven, Hell","Eschatology (Akhirah), Supplication & Spirituality (Dua, Dhikr, Tazkiyah)","Hope, Fear","Eschatological context, Spiritual reminder"
2,1,الم,الم,Alif. Lam. Mim.,"Tawheed, Mercy, Power, Wisdom",Divine Attributes & Signs (Asma wa Sifat),"Awe, Hope, Love of Allah",Spiritual reminder
2,2,ذَٰلِكَ الْكِتَابُ لَا رَيْبَ ۛ فِيهِ ۛ هُدًى لِلْمُتَّقِينَ,یہ کتاب (قرآن مجید) اس میں کچھ شک نہیں (کہ کلامِ خدا ہے۔ خدا سے) ڈرنے والوں کی رہنما ہے,"This is the Scripture whereof there is no doubt, a guidance unto those who ward off (evil).","Revelation, Guidance, Faith, Tawheed, Fear, Hope","Faith (Aqeedah), Divine Attributes & Signs (Asma wa Sifat)","Hope, Fear",Spiritual reminder
2,3,الَّذِينَ يُؤْمِنُونَ بِالْغَيْبِ وَيُقِيمُونَ الصَّلَاةَ وَمِمَّا رَزَقْنَاهُمْ يُنْفِقُونَ,جو غیب پر ایمان لاتے اور آداب کے ساتھ نماز پڑھتے اور جو کچھ ہم نے ان کو عطا فرمایا ہے اس میں سے خرچ کرتے ہیں,"Who believe in the Unseen, and establish worship, and spend of that We have bestowed upon them;","Faith, Prayer, Zakat, Gratitude","Faith (Aqeedah), Worship (‘Ibadah), Ethics & Morality (Akhlaq)","Gratitude, Hope","Worship guidance, Moral teaching context, Daily life context"
