,Sourah_number,Verse_number,Sourah_Ar,Sourah_En,Verse_diac,Verse,Sahih_International,Pickthall,Yusuf_Ali (YA),Shakir,Muhammad_Sarwar (MS),Mohsin_Khan (MK),Arberry,Label
0,50,37,سورة ق, qāf,إِنَّ فِي ذَٰلِكَ لَذِكۡرَىٰ لِمَن كَانَ لَهُۥ قَلۡبٌ أَوۡ أَلۡقَى ٱلسَّمۡعَ وَهُوَ شَهِيدٞ,ان في ذٰلك لذكرىٰ لمن كان له قلب او القى السمع وهو شهيد,Indeed in that is a reminder for whoever has a heart or who listens while he is present [in mind].,"Lo! therein verily is a reminder for him who hath a heart, or giveth ear with full intelligence.",Verily in this is a Message for any that has a heart and understanding or who gives ear and earnestly witnesses (the truth).,Most surely there is a reminder in this for him who has a heart or he gives ear and is a witness.,"This is a reminder for everyone who understands, listens, and sees.","Verily, therein is indeed a reminder for him who has a heart or gives ear while he is heedful.","Surely in that there is a reminder to him who has a heart, or will give ear with a present mind.",fear
1,64,5,سورة التغابن, l-taghābun ,أَلَمۡ يَأۡتِكُمۡ نَبَؤُاْ ٱلَّذِينَ كَفَرُواْ مِن قَبۡلُ فَذَاقُواْ وَبَالَ أَمۡرِهِمۡ وَلَهُمۡ عَذَابٌ أَلِيمٞ,الم ياتكم نبؤا الذين كفروا من قبل فذاقوا وبال امرهم ولهم عذاب اليم,"Has there not come to you the news of those who disbelieved before? So they tasted the bad consequence of their affair, and they will have a painful punishment.","Hath not the story reached you of those who disbelieved of old and so did taste the ill-effects of their conduct, and theirs will be a painful doom.","Has not the story reached you, of those who rejected Faith aforetime? So they tasted the evil result of their conduct; and they had a grievous Penalty.","Has there not come to you the story of those who disbelieved before, then tasted the evil result of their conduct, and they had a painful punishment?",Have you not received the news about the disbelievers living before you who suffered the consequences of their deeds and will suffer a painful torment?,"Has not the news reached you of those who disbelieved aforetime? And so they tasted the evil result of their disbelief, and theirs will be a painful torment.","Has there not come to you the tidings of those that disbelieved before, then tasted the mischief of their action, and there yet awaits them a painful chastisement?",fear
2,37,101,سورة الصافات, l-ṣāfāt ,فَبَشَّرۡنَٰهُ بِغُلَٰمٍ حَلِيمٖ,فبشرنٰه بغلٰم حليم,So We gave him good tidings of a forbearing boy.,So We gave him tidings of a gentle son.,So We gave him the good news of a boy ready to suffer and forbear.,"So We gave him the good news of a boy, possessing forbearance.",We gave him the glad news of the birth of a forbearing son.,So We gave him the glad tidings of a forbearing boy.,Then We gave him the good tidings of a prudent boy;,joy
3,40,41,سورة غافر, ghāfir ,۞وَيَٰقَوۡمِ مَا لِيٓ أَدۡعُوكُمۡ إِلَى ٱلنَّجَوٰةِ وَتَدۡعُونَنِيٓ إِلَى ٱلنَّارِ,ويٰقوم ما لي ادعوكم الى النجوٰة وتدعونني الى النار,"And O my people, how is it that I invite you to salvation while you invite me to the Fire?","And, O my people! What aileth me that I call you unto deliverance when ye call me unto the Fire?","""And O my people! How (strange) it is for me to call you to Salvation while ye call me to the Fire!","And, O my people! how is it that I call you to salvation and you call me to the fire?","My people, ""How strange is it that I invite you to salvation when you invite me to the fire.","""And O my people! How is it that I call you to salvation while you call me to the Fire!","O my people, how is it with me, that I call you to salvation, and you call me to the Fire?",sadness
4,26,187,سورة الشعراء, l-shuʿarā ,فَأَسۡقِطۡ عَلَيۡنَا كِسَفٗا مِّنَ ٱلسَّمَآءِ إِن كُنتَ مِنَ ٱلصَّٰدِقِينَ,فاسقط علينا كسفا من السماء ان كنت من الصٰدقين,"So cause to fall upon us fragments of the sky, if you should be of the truthful.""","Then make fragments of the heaven fall upon us, if thou art of the truthful.","""Now cause a piece of the sky to fall on us, if thou art truthful!""","Therefore cause a portion of the heaven to come down upon us, if you are one of the truthful.","Let a part of the sky fall on us if what you say is true"".","""So cause a piece of the heaven to fall on us, if you are of the truthful!""","Then drop down on us lumps from heaven, if thou art one of the truthful.'",anger
5,50,28,سورة ق, qāf,قَالَ لَا تَخۡتَصِمُواْ لَدَيَّ وَقَدۡ قَدَّمۡتُ إِلَيۡكُم بِٱلۡوَعِيدِ,قال لا تختصموا لدي وقد قدمت اليكم بالوعيد,"[Allah] will say, ""Do not dispute before Me, while I had already presented to you the warning.","He saith: Contend not in My presence, when I had already proffered unto you the warning.","He will say: ""Dispute not with each other in My Presence: I had already in advance sent you Warning.","He will say: Do not quarrel in My presence, and indeed I gave you the threatening beforehand:","The Lord will say, ""Do not argue in My presence; I had certainly sent you a warning.","Allah will say: ""Dispute not in front of Me, I had already, in advance, sent you the threat.","He shall say, 'Dispute not before Me! For I sent you beforehand -- the threat.",anger
6,37,178,سورة الصافات, l-ṣāfāt ,وَتَوَلَّ عَنۡهُمۡ حَتَّىٰ حِينٖ,وتول عنهم حتىٰ حين,And leave them for a time.,Withdraw from them awhile,"So turn thou away from them for a little while,",And turn away from them till a time,Stay away from them for a while,"So turn (O Muhammad SAW) away from them for a while,","So turn thou from them for a while,",sadness
7,23,66,سورة المؤمنون, l-mu'minūn ,قَدۡ كَانَتۡ ءَايَٰتِي تُتۡلَىٰ عَلَيۡكُمۡ فَكُنتُمۡ عَلَىٰٓ أَعۡقَٰبِكُمۡ تَنكِصُونَ,قد كانت ءايٰتي تتلىٰ عليكم فكنتم علىٰ اعقٰبكم تنكصون,"My verses had already been recited to you, but you were turning back on your heels","My revelations were recited unto you, but ye used to turn back on your heels,","""My Signs used to be rehearsed to you, but ye used to turn back on your heels-","My communications were indeed recited to you, but you used to turn back on your heels,","Our revelations had certainly been recited to you, but you turned your backs to them","Indeed My Verses used to be recited to you, but you used to turn back on your heels (denying them, and with hatred to listen to them).","My signs were recited to you, but upon your heels you withdrew,",sadness
8,30,12,سورة الروم, l-rūm ,وَيَوۡمَ تَقُومُ ٱلسَّاعَةُ يُبۡلِسُ ٱلۡمُجۡرِمُونَ,ويوم تقوم الساعة يبلس المجرمون,And the Day the Hour appears the criminals will be in despair.,And in the day when the Hour riseth the unrighteous will despair.,"On the Day that the Hour will be established, the guilty will be struck dumb with despair.",And at the time when the hour shall come the guilty shall be in despair.,"On the day when the Hour of Doom comes, the criminals will despair.","And on the Day when the Hour will be established, the Mujrimun (disbelievers, sinners, criminals, polytheists, etc.) will be plunged into destruction with deep regrets, sorrows, and despair.","Upon the day when the Hour is come, the sinners shall be confounded",fear
9,6,120,سورة الانعام, l-anʿām ,وَذَرُواْ ظَٰهِرَ ٱلۡإِثۡمِ وَبَاطِنَهُۥٓۚ إِنَّ ٱلَّذِينَ يَكۡسِبُونَ ٱلۡإِثۡمَ سَيُجۡزَوۡنَ بِمَا كَانُواْ يَقۡتَرِفُونَ,وذروا ظٰهر الاثم وباطنه ان الذين يكسبون الاثم سيجزون بما كانوا يقترفون,"And leave what is apparent of sin and what is concealed thereof. Indeed, those who earn [blame for] sin will be recompensed for that which they used to commit.",Forsake the outwardness of sin and the inwardness thereof. Lo! those who garner sin will be awarded that which they have earned.,"Eschew all sin, open or secret: those who earn sin will get due recompense for their ""earnings.""",And abandon open and secret sin; surely they who earn sin shall be recompensed with what they earned.,Stay away from both public and secret sins for a sinner will suffer for whatever he has committed.,"Leave (O mankind, all kinds of) sin, open and secret. Verily, those who commit sin will get due recompense for that which they used to commit.","Forsake the outward sin, and the inward surely the earners of sin shall be recompensed for what they have earned.",fear
